Prospect,Hole_ID,Sample_ID,Depth_From,Depth_To,Sample_length,Sample_Group,Standard_ID,Sample_Type,Initials,Priority
DOR,DD21DOR001,D2003818,,,,REF,BLANK-CARQ,INSERT QC,DT,1
DOR,DD21DOR001,D2003819,200.50,202.00,1.50,ALPHA,,CORE-50,DT,1
DOR,DD21DOR001,D2003820,,,,REF,PH-UG21,INSERT QC,DT,1
DOR,DD21DOR001,D2003821,202.00,204.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003822,204.00,206.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003823,206.00,208.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003824,208.00,210.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003825,210.00,212.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003826,212.00,214.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003827,214.00,216.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003828,216.00,218.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003829,218.00,220.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003830,220.00,222.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003831,222.00,224.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003832,224.00,226.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003833,226.00,228.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003834,228.00,230.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003835,230.00,232.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003836,232.00,234.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003837,234.00,235.00,1.00,ALPHA,,CORE-50,DT,1
DOR,DD21DOR001,D2003838,235.00,236.90,1.90,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003839,236.90,238.20,1.30,ALPHA,,CORE-50,DT,1
DOR,DD21DOR001,D2003840,,,0.00,REF,BLANK-CARQ,INSERT QC,DT,1
DOR,DD21DOR001,D2003841,238.20,240.00,1.80,ALPHA,,CORE-50,DT,1
DOR,DD21DOR001,D2003842,238.20,240.00,1.80,DUP,LAB DUP,INSERT QC,DT,1
DOR,DD21DOR001,D2003843,240.00,242.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003844,242.00,244.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003845,244.00,246.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003846,246.00,248.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003847,248.00,250.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003848,250.00,252.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003849,252.00,254.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003850,254.00,256.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003851,256.00,258.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003852,258.00,260.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003853,260.00,262.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003854,262.00,264.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003855,264.00,266.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003856,266.00,268.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003857,268.00,270.00,2.00,ALPHA,,CORE-25,DT,1
DOR,DD21DOR001,D2003858,270.00,272.60,2.60,ALPHA,,CORE-25,DT,1
